słowo, udział procentowy w wikipedii duńskiej, stała prawa zipfai, 0.03732%, 0.03732
og, 0.02784%, 0.05568
af, 0.01878%, 0.05634
en, 0.01526%, 0.06105
er, 0.01311%, 0.06554
til, 0.01271%, 0.07628
at, 0.01184%, 0.08290
den, 0.01152%, 0.09217
på, 0.01090%, 0.09806
som, 0.01034%, 0.10345
for, 0.01005%, 0.11054
fra, 0.00992%, 0.11910
med, 0.00946%, 0.12304
det, 0.00898%, 0.12573
der, 0.00800%, 0.12004
de, 0.00762%, 0.12188
blev, 0.00735%, 0.12488
var, 0.00702%, 0.12639
han, 0.00608%, 0.11543
et, 0.00572%, 0.11446
har, 0.00446%, 0.09372
ved, 0.00433%, 0.09524
om, 0.00352%, 0.08092
the, 0.00341%, 0.08179
ikke, 0.00336%, 0.08410
efter, 0.00275%, 0.07156
men, 0.00272%, 0.07336
også, 0.00264%, 0.07379
sig, 0.00224%, 0.06487
kan, 0.00219%, 0.06566
danmark, 0.00217%, 0.06714
eller, 0.00215%, 0.06876
of, 0.00210%, 0.06923
hvor, 0.00209%, 0.07113
in, 0.00208%, 0.07277
to, 0.00199%, 0.07179
havde, 0.00198%, 0.07341
henvisninger, 0.00198%, 0.07524
redirect, 0.00189%, 0.07378
eksterne, 0.00180%, 0.07214
under, 0.00179%, 0.07326
sin, 0.00176%, 0.07401
a, 0.00175%, 0.07542
dansk, 0.00170%, 0.07470
hans, 0.00170%, 0.07637
over, 0.00169%, 0.07752
da, 0.00168%, 0.07907
første, 0.00162%, 0.07779
år, 0.00159%, 0.07815
så, 0.00146%, 0.07300
man, 0.00145%, 0.07415
hun, 0.00143%, 0.07413
on, 0.00142%, 0.07513
født, 0.00132%, 0.07128
mod, 0.00127%, 0.06971
jeg, 0.00122%, 0.06855
s, 0.00118%, 0.06709
andre, 0.00118%, 0.06818
referencer, 0.00117%, 0.06922
and, 0.00114%, 0.06830
være, 0.00113%, 0.06869
del, 0.00110%, 0.06848
denne, 0.00110%, 0.06939
not, 0.00110%, 0.07045
fik, 0.00105%, 0.06855
flere, 0.00104%, 0.06872
mellem, 0.00104%, 0.06943
deres, 0.00103%, 0.06982
danske, 0.00102%, 0.07004
f, 0.00100%, 0.06991
end, 0.00100%, 0.07074
kommune, 0.00097%, 0.06973
q, 0.00092%, 0.06715
alle, 0.00090%, 0.06691
dette, 0.00090%, 0.06778
ud, 0.00090%, 0.06828
kunne, 0.00088%, 0.06803
mange, 0.00088%, 0.06870
tidligere, 0.00087%, 0.06912
film, 0.00086%, 0.06846
senere, 0.00085%, 0.06884
usa, 0.00082%, 0.06752
op, 0.00082%, 0.06786
se, 0.00082%, 0.06854
siden, 0.00080%, 0.06838
kun, 0.00080%, 0.06904
skal, 0.00080%, 0.06978
have, 0.00080%, 0.07004
københavn, 0.00079%, 0.07022
found, 0.00077%, 0.06952
ligger, 0.00077%, 0.06976
store, 0.00077%, 0.07051
dog, 0.00076%, 0.07112
maj, 0.00076%, 0.07158
mere, 0.00075%, 0.07162
sammen, 0.00075%, 0.07195
været, 0.00075%, 0.07270
død, 0.00074%, 0.07268
m, 0.00073%, 0.07182
hvis, 0.00072%, 0.07224
samme, 0.00072%, 0.07224
august, 0.00071%, 0.07270
bliver, 0.00070%, 0.07249
omkring, 0.00070%, 0.07318
vil, 0.00069%, 0.07262
tre, 0.00068%, 0.07204
c, 0.00068%, 0.07258
blevet, 0.00068%, 0.07314
meget, 0.00068%, 0.07372
januar, 0.00067%, 0.07370
diskussion, 0.00067%, 0.07429
blandt, 0.00066%, 0.07345
april, 0.00065%, 0.07309
samt, 0.00064%, 0.07353
selv, 0.00064%, 0.07396
mens, 0.00064%, 0.07445
dk, 0.00064%, 0.07499
anden, 0.00064%, 0.07562
ham, 0.00064%, 0.07612
juni, 0.00064%, 0.07642
kom, 0.00063%, 0.07680
september, 0.00063%, 0.07721
skulle, 0.00063%, 0.07765
her, 0.00063%, 0.07803
nu, 0.00063%, 0.07858
byen, 0.00063%, 0.07879
